Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Penn West Petroleum,Helmet (West Thet) Battery BCBT00002917,"8,838 ",0 ,195 ,270 ,"8,176 ",0 ,0 ,0 ,0 ,"17,479 "
Penn West Petroleum,Wildboy Gas Plant BCGP00002917,"91,212 ",0 ,0 ,0 ,"7,311 ",0 ,0 ,0 ,0 ,"98,524 "
Penn West Petroleum,"BC Aggregated Facilities (E < 10,000 tCO2e each)","26,418 ",0 ,"1,497 ",595 ,"7,931 ",0 ,0 ,0 ,0 ,"36,442 "
PetroBakken Energy Ltd.,Petrobank Monias 8-22-82-20,"2,821 ",0 ,0 ,"20,740 ",37 ,0 ,0 ,0 ,0 ,"23,599 "
PetroBakken Energy Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","9,777 ",0 ,0 ,"1,262 ","1,833 ",0 ,0 ,0 ,0 ,"12,872 "
Polar Star Canadian Oil and Gas Inc.,Conroy D-48-C/94-H-12,"13,046 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,046 "
Progress Energy Resources Corp.,Bubbles C-79-A/94-G-8,"10,224 ",0 ,0 ,0 ,315 ,0 ,0 ,0 ,0 ,"10,539 "
Progress Energy Resources Corp.,Clarke A-99-F/94-J-10,"9,504 ",0 ,0 ,0 ,"1,355 ",0 ,0 ,0 ,0 ,"10,859 "
Progress Energy Resources Corp.,Julienne B-66-A/94-G-2,"11,410 ",0 ,0 ,0 ,117 ,0 ,0 ,0 ,0 ,"11,527 "
Progress Energy Resources Corp.,Town B-90-J/94-B-16,"23,554 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"23,554 "
Progress Energy Resources Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","120,299 ",0 ,"2,485 ",0 ,"14,731 ",0 ,0 ,0 ,0 ,"137,516 "
Quinsam Coal Corporation,Quinsam Coal Mine,0 ,0 ,0 ,0 ,"101,101 ","1,698 ",0 ,0 ,0 ,"102,799 "
Ramshorn Canada Investments Limited,BC Linear Facilities Operation (LFO),"25,779 ",0 ,"2,523 ",0 ,823 ,0 ,0 ,0 ,0 ,"29,124 "
Rio Tinto Alcan,Kitimat Works,"43,220 ","876,379 ",0 ,0 ,76 ,"3,865 ",0 ,0 ,0 ,"923,540 "
Shell Canada Limited,Brassey Gas Processing and Production,"25,633 ",0 ,"1,032 ",215 ,85 ,0 ,0 ,0 ,0 ,"26,965 "
Shell Canada Limited,Groundbirch Gas Processing and Production,"10,431 ",0 ,414 ,203 ,111 ,0 ,0 ,0 ,0 ,"11,159 "
Shell Canada Limited,Montney Gas Processing and Production,"49,661 ",0 ,"5,190 ","3,156 ",72 ,0 ,0 ,0 ,0 ,"58,079 "
Shell Canada Limited,Sundown Gas Processing and Production,"12,634 ",0 ,742 ,109 ,86 ,0 ,0 ,0 ,0 ,"13,571 "
Shell Canada Limited,Sunset Gas Processing and Production,"18,466 ",0 ,"2,130 ",179 ,57 ,0 ,0 ,0 ,0 ,"20,832 "
Shell Canada Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)","2,826 ",0 ,357 ,106 ,278 ,0 ,0 ,0 ,0 ,"3,567 "
Spectra Energy Midstream Corporation,Highway Gas Plant,"44,283 ",0 ,"3,254 ","5,580 ",334 ,0 ,0 ,0 ,0 ,"53,451 "
Spectra Energy Midstream Corporation,Jedney I Gas Plant,"48,186 ",0 ,"7,527 ",583 ,324 ,0 ,0 ,0 ,0 ,"56,619 "
Spectra Energy Midstream Corporation,Jedney II Gas Plant,"48,732 ",0 ,"5,549 ",46 ,353 ,0 ,0 ,0 ,0 ,"54,679 "
Spectra Energy Midstream Corporation,Midwinter Plant,"10,894 ",0 ,1 ,0 ,"1,484 ",0 ,0 ,0 ,0 ,"12,380 "
Spectra Energy Midstream Corporation,Peggo Plant,"18,505 ",0 ,"3,958 ","6,536 ",836 ,0 ,0 ,0 ,0 ,"29,835 "
Spectra Energy Midstream Corporation,Tooga Plant,"24,368 ",0 ,21 ,919 ,"3,311 ",0 ,0 ,0 ,0 ,"28,620 "
Spectra Energy Midstream Corporation,West Doe Plant,"58,634 ",0 ,"10,287 ",72 ,483 ,0 ,0 ,0 ,0 ,"69,476 "
Spectra Energy Transmission,Booster Station 19 - Cabin Lake,"37,623 ",0 ,122 ,0 ,"1,628 ",0 ,0 ,0 ,0 ,"39,373 "
Spectra Energy Transmission,Booster Station 3 - Kobes Creek,"20,109 ",0 ,"1,339 ",167 ,"1,868 ",0 ,0 ,0 ,0 ,"23,483 "
Spectra Energy Transmission,Booster Station 6 - Bluehills,"17,594 ",0 ,40 ,251 ,"1,278 ",0 ,0 ,0 ,0 ,"19,164 "
Spectra Energy Transmission,Fort Nelson Gas Plant,"401,842 ",0 ,"4,619 ","884,758 ",549 ,0 ,0 ,0 ,0 ,"1,291,769 "
Spectra Energy Transmission,Kwoen Gas Plant,"5,177 ",0 ,"18,892 ",8 ,78 ,0 ,0 ,0 ,0 ,"24,156 "
Spectra Energy Transmission,McMahon Gas Plant,"138,125 ",0 ,"4,645 ","216,190 ",742 ,0 ,0 ,0 ,0 ,"359,701 "
Spectra Energy Transmission,Pine River Gas Plant,"248,112 ",0 ,"1,640 ","895,298 ",370 ,0 ,0 ,0 ,0 ,"1,145,420 "
Spectra Energy Transmission,Sikanni Gas Plant,"9,524 ",0 ,0 ,"8,377 ",278 ,0 ,0 ,0 ,0 ,"18,179 "
Spectra Energy Transmission,Station 1 - Taylor,"54,389 ",0 ,140 ,0 ,"3,783 ",0 ,0 ,0 ,0 ,"58,312 "
Spectra Energy Transmission,Transmission Mainline,"557,481 ",0 ,0 ,"18,534 ","100,515 ",0 ,0 ,0 ,0 ,"676,530 "
Spectra Energy Transmission,"BC Aggregated Facilities (E < 10,000 tCO2e each)","25,784 ",0 ,"11,090 ",50 ,"10,082 ",0 ,0 ,0 ,0 ,"47,007 "
Spectra Energy Transmission,McMahon Cogen Plant,"555,830 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"555,830 "
