Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Kruger Products L.P.,Kruger Products Facility,"37,349 ",0 ,0 ,0 ,0 ,593 ,0 ,28 ,0 ,"37,970 "
Lafarge Canada Inc.,Kamloops Plant,0 ,0 ,0 ,0 ,92 ,146 ,0 ,0 ,"135,954 ","136,192 "
Lafarge Canada Inc.,Richmond Cement Plant,0 ,0 ,0 ,0 ,504 ,260 ,0 ,0 ,"502,576 ","503,340 "
Lantic Inc.,Vancouver Refinery,"32,818 ",0 ,0 ,0 ,0 ,36 ,166 ,0 ,0 ,"33,020 "
"Lehigh Cement, a Division of Lehigh Hanson Materials Ltd.",Delta Plant,0 ,0 ,0 ,0 ,564 ,704 ,0 ,0 ,"726,209 ","727,477 "
Lone Pine Resources Canada Ltd.,Doig River Comp Stn C-073-I,"3,417 ",0 ,854 ,"4,866 ","2,233 ",0 ,0 ,0 ,0 ,"11,369 "
Lone Pine Resources Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","5,458 ",0 ,"2,541 ",733 ,"2,655 ",0 ,0 ,0 ,0 ,"11,388 "
Mackenzie Pulp Mill Corporation,Mackenzie Pulp Mill,"52,183 ","1,375 ",0 ,0 ,0 ,682 ,"7,828 ",135 ,0 ,"62,204 "
Maxim Power Corp.,Hartland Landfill,"12,432 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"12,432 "
Maxim Power Corp.,Vancouver LandFill Delta,"26,859 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"26,859 "
Moly-Cop Canada,Moly-Cop Canada Facility,"12,796 ",0 ,0 ,0 ,0 ,9 ,0 ,0 ,0 ,"12,806 "
NAL Resources Ltd.,Fireweed C-A-16-A/94-A-13,"9,169 ",0 ,0 ,0 ,"9,375 ",0 ,0 ,0 ,0 ,"18,544 "
NAL Resources Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","2,629 ",0 ,0 ,0 ,"1,787 ",0 ,0 ,0 ,0 ,"4,416 "
Nanaimo Forest Products Ltd.,Harmac Pacific Operations,"38,851 ","2,003 ",0 ,0 ,0 ,"2,517 ","35,114 ",40 ,0 ,"78,525 "
Neucel Specialty Cellulose,Neucel Specialty Cellulose Facility,"449,073 ",0 ,0 ,0 ,0 ,"1,192 ",0 ,0 ,0 ,"450,266 "
Nexen Inc.,Etsho North Compressor Station,"17,049 ",0 ,268 ,227 ,"1,320 ",0 ,491 ,0 ,0 ,"19,353 "
Nexen Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","16,654 ",0 ,45 ,406 ,328 ,0 ,0 ,0 ,0 ,"17,432 "
Northgate Minerals Corporation,Kemess South Mine,699 ,0 ,0 ,0 ,0 ,"47,885 ",183 ,0 ,0 ,"48,768 "
NuVista Energy Ltd.,Black Conroy Comp Stn B-094-J,"10,277 ",0 ,"4,374 ",28 ,"2,247 ",0 ,0 ,0 ,0 ,"16,927 "
NuVista Energy Ltd.,Martin Creek Sour Gas Plant B-002-E,"18,491 ",0 ,735 ,"1,911 ","4,903 ",0 ,0 ,0 ,0 ,"26,041 "
NuVista Energy Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","5,884 ",0 ,342 ,"9,005 ","7,300 ",0 ,0 ,0 ,0 ,"22,531 "
Pacific Northern Gas Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","2,385 ",0 ,93 ,"9,630 ","24,571 ",0 ,"5,588 ",0 ,0 ,"42,268 "
Peace River Coal Inc.,Trend Mine,"1,287 ",0 ,0 ,0 ,0 ,"44,685 ",358 ,0 ,0 ,"46,329 "
Pengrowth Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)","27,224 ",0 ,"1,914 ","2,796 ","16,661 ",0 ,0 ,0 ,0 ,"48,595 "
Penn West Petroleum,Firebird Compressor Station BCBT00002487,"10,356 ",0 ,124 ,79 ,"1,333 ",0 ,0 ,0 ,0 ,"11,892 "
