Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-5459,6318,-6318,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-4638,7139,-7139,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-4551,7226,-7226,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-3636,8141,-8141,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-3361,8416,-8416,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-1872,9905,-9905,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-11756,21,-21,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-11716,61,-61,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-11377,400,-400,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-10774,1003,-1003,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-10289,1488,-1488,0,-11777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Tourmaline Oil Corp.,11777,-10258,1519,-1519,0,-11777
Eurocan Pulp & Paper,West Fraser Mills Ltd.,12018,-12018,0,0,0,-12018
Station 1 - Taylor,Spectra Energy Transmission,54389,-4770,49619,-7460,42159,-12230
Vancouver LandFill Delta,Maxim Power Corp.,26859,-3772,23087,-8542,14545,-12314
Missile Facility,Apache Canada Ltd.,12947,307,13254,-13254,0,-12947
Chinchaga C-32-H/94-H-8,TAQA North Ltd.,27930,-7453,20477,-5756,14721,-13209
Boulder Comp Station D-072-G,ConocoPhillips Canada Resources Corp.,13837,4380,18217,-18217,0,-13837
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,99690,113650,-113650,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,922,14882,-14882,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,5842,19802,-19802,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,56390,70350,-70350,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,44813,58773,-58773,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,447,14407,-14407,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,3904,17864,-17864,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,384119,398079,-398079,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,3667,17627,-17627,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,346,14306,-14306,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,27076,41036,-41036,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,21,13981,-13981,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,20624,34584,-34584,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,20565,34525,-34525,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,19678,33638,-33638,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,179502,193462,-193462,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,17009,30969,-30969,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,14713,28673,-28673,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,14019,27979,-27979,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,12583,26543,-26543,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,12364,26324,-26324,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,108807,122767,-122767,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,#VALUE!, -   ,#VALUE!,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,#VALUE!, -   ,#VALUE!,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,#VALUE!, -   ,#VALUE!,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,#VALUE!, -   ,#VALUE!,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-9155,4805,-4805,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-7642,6318,-6318,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-6821,7139,-7139,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-6734,7226,-7226,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-5819,8141,-8141,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-5544,8416,-8416,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-4055,9905,-9905,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-13939,21,-21,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-13899,61,-61,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-13560,400,-400,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-12957,1003,-1003,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-1261,12699,-12699,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-12472,1488,-1488,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-12441,1519,-1519,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-11876,2084,-2084,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-11475,2485,-2485,0,-13960
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy Inc.,13960,-10560,3400,-3400,0,-13960
Kelly Comp Stn c-027-B,EnCana Corporation,14880,-14880,0,0,0,-14880
Clarke Lake Battery (D-83-I/94-J-10),Suncor Energy Inc.,15104,-2163,12941,-12941,0,-15104
Elmworth Comp Station D-039-G,ConocoPhillips Canada Resources Corp.,15942,2143,18085,-18085,0,-15942
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,97652,113650,-113650,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,54352,70350,-70350,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,42775,58773,-58773,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,382081,398079,-398079,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,3804,19802,-19802,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,25038,41036,-41036,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,1866,17864,-17864,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,18586,34584,-34584,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,18527,34525,-34525,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,177464,193462,-193462,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,17640,33638,-33638,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,1629,17627,-17627,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,14971,30969,-30969,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,12675,28673,-28673,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,11981,27979,-27979,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,106769,122767,-122767,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,10545,26543,-26543,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,10326,26324,-26324,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,#VALUE!, -   ,#VALUE!,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,#VALUE!, -   ,#VALUE!,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,#VALUE!, -   ,#VALUE!,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,#VALUE!, -   ,#VALUE!,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-9680,6318,-6318,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-8859,7139,-7139,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-8772,7226,-7226,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-7857,8141,-8141,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-7582,8416,-8416,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-6093,9905,-9905,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-3299,12699,-12699,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-2017,13981,-13981,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-1692,14306,-14306,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-15977,21,-21,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-15937,61,-61,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-1591,14407,-14407,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-15598,400,-400,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-14995,1003,-1003,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-14510,1488,-1488,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-14479,1519,-1519,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-13914,2084,-2084,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-13513,2485,-2485,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-12598,3400,-3400,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-11193,4805,-4805,0,-15998
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,15998,-1116,14882,-14882,0,-15998
Laprise Main Battery (D-30-E/94-H-5),Suncor Energy Inc.,16273,-2255,14018,-14018,0,-16273
Steeprock Sour Gas Plant,EnCana Corporation,51706,-8102,43604,-8188,35416,-16290
Adsett Comp Stn D-053-G,Canadian natural Resources Limited,16354,-2918,13436,-13436,0,-16354
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,9889,26543,-26543,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,973,17627,-17627,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,96996,113650,-113650,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,9670,26324,-26324,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,53696,70350,-70350,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,42119,58773,-58773,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,381425,398079,-398079,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,3148,19802,-19802,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,24382,41036,-41036,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,17930,34584,-34584,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,17871,34525,-34525,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,176808,193462,-193462,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,16984,33638,-33638,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,14315,30969,-30969,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,1210,17864,-17864,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,12019,28673,-28673,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,11325,27979,-27979,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,106113,122767,-122767,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,#VALUE!, -   ,#VALUE!,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,#VALUE!, -   ,#VALUE!,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,#VALUE!, -   ,#VALUE!,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,#VALUE!, -   ,#VALUE!,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-9515,7139,-7139,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-9428,7226,-7226,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-8513,8141,-8141,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-8238,8416,-8416,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-6749,9905,-9905,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-3955,12699,-12699,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-2673,13981,-13981,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-2348,14306,-14306,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-2247,14407,-14407,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-1772,14882,-14882,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-16633,21,-21,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-16593,61,-61,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-16254,400,-400,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-15651,1003,-1003,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-15166,1488,-1488,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-15135,1519,-1519,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-14570,2084,-2084,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-14169,2485,-2485,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-13254,3400,-3400,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-11849,4805,-4805,0,-16654
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,16654,-10336,6318,-6318,0,-16654
Laprise A-40-E/94-H-5,TAQA North Ltd.,17061,-17061,0,0,0,-17061
Burrard Generating Station,British Columbia Hydro and Power Authority,41617,-20878,20739,3680,24419,-17198
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,96449,113650,-113650,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,9342,26543,-26543,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,9123,26324,-26324,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,663,17864,-17864,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,53149,70350,-70350,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,426,17627,-17627,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,41572,58773,-58773,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,380878,398079,-398079,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,2601,19802,-19802,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,23835,41036,-41036,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,176261,193462,-193462,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,17383,34584,-34584,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,17324,34525,-34525,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,16437,33638,-33638,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,13768,30969,-30969,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,11472,28673,-28673,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,10778,27979,-27979,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,105566,122767,-122767,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,#VALUE!, -   ,#VALUE!,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,#VALUE!, -   ,#VALUE!,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,#VALUE!, -   ,#VALUE!,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,#VALUE!, -   ,#VALUE!,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-9975,7226,-7226,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-9060,8141,-8141,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-8785,8416,-8416,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-7296,9905,-9905,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-4502,12699,-12699,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-3220,13981,-13981,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-2895,14306,-14306,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-2794,14407,-14407,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-2319,14882,-14882,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-17180,21,-21,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-17140,61,-61,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-16801,400,-400,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-16198,1003,-1003,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-15713,1488,-1488,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-15682,1519,-1519,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-15117,2084,-2084,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-14716,2485,-2485,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-13801,3400,-3400,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-12396,4805,-4805,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-10883,6318,-6318,0,-17201
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ARC Resources,17201,-10062,7139,-7139,0,-17201
Parkland Gas Plant (06-29-081-15W6M),Suncor Energy Inc.,17709,-918,16791,-16791,0,-17709
Chetwynd Operation,Tembec,18292,-735,17557,-17557,0,-18292
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,95062,113650,-113650,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,9391,27979,-27979,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,7955,26543,-26543,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,7736,26324,-26324,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,51762,70350,-70350,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,40185,58773,-58773,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,379491,398079,-398079,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,22448,41036,-41036,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,174874,193462,-193462,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,15996,34584,-34584,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,15937,34525,-34525,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,15050,33638,-33638,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,12381,30969,-30969,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,1214,19802,-19802,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,104179,122767,-122767,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,10085,28673,-28673,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,#VALUE!, -   ,#VALUE!,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,#VALUE!, -   ,#VALUE!,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,#VALUE!, -   ,#VALUE!,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,#VALUE!, -   ,#VALUE!,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-961,17627,-17627,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-8683,9905,-9905,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-724,17864,-17864,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-5889,12699,-12699,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-4607,13981,-13981,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-4282,14306,-14306,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-4181,14407,-14407,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-3706,14882,-14882,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-18567,21,-21,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-18527,61,-61,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-18188,400,-400,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-17585,1003,-1003,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-17100,1488,-1488,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-17069,1519,-1519,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-16504,2084,-2084,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-16103,2485,-2485,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-15188,3400,-3400,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-13783,4805,-4805,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-12270,6318,-6318,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-11449,7139,-7139,0,-18588
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TAQA North Ltd.,18588,-11362,7226,-7226,0,-18588
