Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,9833,9905,-9905,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,931,1003,-1003,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,8344,8416,-8416,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,8069,8141,-8141,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,7154,7226,-7226,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,7067,7139,-7139,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,70278,70350,-70350,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,6246,6318,-6318,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,58701,58773,-58773,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,4733,4805,-4805,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,40964,41036,-41036,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,398007,398079,-398079,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,34512,34584,-34584,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,34453,34525,-34525,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,33566,33638,-33638,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,3328,3400,-3400,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,328,400,-400,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,30897,30969,-30969,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,28601,28673,-28673,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,27907,27979,-27979,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,26471,26543,-26543,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,26252,26324,-26324,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,2413,2485,-2485,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,2012,2084,-2084,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,19730,19802,-19802,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,193390,193462,-193462,0,-72
