Facility,Company.x,Total.Industrial.Process.2010,Total.Flaring.2010,Total.Venting.2010,Total.Fugitive.2010,Total.On.site.Transportation.2010,Total.Waste.2010,Total.Wastewater.2010,Total.untaxed.2010,Total.Industrial.Process.2011,Total.Flaring.2011,Total.Venting.2011,Total.Fugitive.2011,Total.On.site.Transportation.2011,Total.Waste.2011,Total.Wastewater.2011,Total.untaxed.2011,Total.Industrial.Process.2012,Total.Flaring.2012,Total.Venting.2012,Total.Fugitive.2012,Total.On.site.Transportation.2012,Total.Waste.2012,Total.Wastewater.2012,Total.untaxed.2012
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Central Global Resources ULC,0,1582,1924,1717,0,0,0,5223, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,0,977,4050,11673,0,0,0,16700, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Alliance Pipeline Ltd.,0,0,121,595,0,0,0,716, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,0,2741,2724,9351,0,0,0,14816, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
